Age,Income,Gender
56,25903.30519613641,Male
69,53051.954538008344,Female
46,38654.73882073545,Female
32,28666.19435603489,Male
60,40301.4067363621,Male
25,33776.779945784074,Female
38,75307.12452608848,Female
56,63224.59635424176,Female
36,49880.41038025074,Female
40,72199.16208335038,Female
28,51160.524614714275,Male
28,37080.73698007604,Female
41,72846.86115904486,Male
53,58083.65065526988,Female
57,34441.30768510315,Male
41,47144.91982874588,Female
20,36865.726199228644,Female
39,29258.00403553496,Male
19,63892.66321297462,Male
41,78641.24960705196,Female
61,29021.486392712883,Female
47,58444.538550358564,Female
55,40240.361463172594,Female
19,42693.11924352956,Female
38,41114.09113641696,Male
50,37040.138454802756,Male
29,50727.82441917241,Female
39,37535.748253834434,Male
61,54056.85238669758,Male
42,49246.42835826294,Male
66,46415.77929700386,Female
44,36386.545069376036,Male
59,41348.43004147501,Female
45,61330.86838738634,Male
33,57513.75781436571,Female
32,35336.67132802174,Male
64,51489.98458143839,Female
68,61270.80685057683,Female
61,24958.920783179423,Male
69,58150.402885699026,Female
20,40060.643615812296,Female
54,58558.98002889739,Female
68,38551.11265186225,Female
24,22926.768490032213,Female
38,25586.86343175256,Female
26,50721.27419992073,Female
56,53895.83752582223,Female
35,36435.25062343387,Male
21,59578.88688166061,Male
42,25077.1990659656,Female
31,49008.80302029025,Female
67,31834.75700356315,Male
26,40222.45838296761,Male
43,50710.98006974621,Male
19,37093.799520740715,Female
37,44231.66683655262,Male
45,65094.39213821661,Female
64,41346.62195715277,Female
24,62535.38168097712,Male
61,33054.397180135726,Female
25,57947.06266872924,Female
64,71623.5293098685,Female
52,12925.332498090662,Female
31,38046.57116794285,Male
34,58656.081907708096,Male
53,46954.31920935511,Female
67,55567.188100569634,Female
57,40940.22219926269,Male
21,51298.8468120935,Female
19,47664.84146911881,Male
23,67516.73092489711,Female
59,53816.31264951819,Female
21,55064.039931128034,Male
46,43821.84550816299,Male
35,42685.906638912595,Male
43,43511.627182705684,Male
61,55916.78213567445,Female
51,43685.232787696055,Male
27,54346.62285344619,Female
53,81131.01197968159,Male
31,63066.87055147538,Male
48,45109.647017482384,Female
65,68018.20883245918,Male
32,43878.86940467673,Male
25,19428.13197233219,Male
31,34878.70533623894,Male
40,21938.121184612166,Female
57,44727.297739380374,Female
38,50276.27568784328,Male
33,75146.55968412924,Male
62,54903.910606462436,Male
35,46713.49206786704,Female
64,62441.083717752335,Female
41,16832.970364881723,Female
43,53534.21837162849,Female
42,61562.9779083045,Male
62,27821.206313302377,Male
58,67156.31064810394,Male
46,55077.44611241621,Female
32,43770.681291487985,Male
62,59491.72799159427,Female
18,84060.39286706594,Female
42,52727.99382587743,Male
24,53723.30879450504,Male
26,43109.58650689634,Male
41,37252.33445802813,Female
18,62455.03724816369,Female
61,37158.74261136699,Male
25,51073.49355829089,Male
41,42835.13829852325,Female
28,57184.697386195876,Male
68,55004.931579304226,Female
34,65563.0991638685,Female
25,42349.75401717879,Male
52,45951.87597059943,Male
52,35318.54426326539,Male
50,43335.60109885833,Male
22,55659.50739567279,Female
59,61354.829249680275,Female
56,36167.52013733562,Female
58,63044.088801584905,Male
45,70334.56788207426,Female
24,56201.523548355515,Male
26,78151.937188371,Male
25,38393.1620134464,Male
29,31330.179450328746,Male
51,23319.19626643582,Male
50,72440.66467233775,Male
65,59815.484845310864,Female
40,49166.229936343174,Male
41,54199.529394797304,Female
54,33117.66429052435,Female
52,86686.27969425239,Male
61,51938.31772962841,Male
57,51640.92191907339,Male
39,60886.49935848038,Female
44,57215.1384760507,Male
52,53358.26036418697,Female
18,38142.88316832032,Male
52,57072.025357039936,Male
54,78230.3674471255,Female
64,70181.30069232467,Female
31,73897.79939959096,Male
20,42331.76485353222,Female
18,35155.92769612129,Female
22,48113.19619850528,Female
43,50835.87368433042,Female
31,66412.87277706423,Female
56,24613.03055427771,Male
44,72943.2547919092,Male
26,47629.88152131516,Female
32,43596.7839507887,Male
32,34818.434371097486,Male
43,25177.14992201346,Female
59,62347.55875942872,Male
30,51099.76950782606,Female
68,30650.58650388419,Female
49,30573.818419045758,Male
56,44963.229510648074,Female
66,75035.32287934089,Female
69,46106.12972954593,Female
49,27452.855703228408,Female
21,46313.85403871084,Female
47,45909.146453784946,Male
54,9546.700355876426,Male
40,49185.577002232814,Female
56,46535.98204686983,Female
62,60443.095472201276,Male
32,77734.34142418018,Female
60,66898.47544321636,Male
46,45966.669641677545,Female
53,33402.11136887495,Female
30,88600.3970487479,Female
49,50888.27651021732,Female
24,50208.939378694195,Female
68,49638.12369334995,Female
39,52971.271411517824,Female
45,47834.593821140865,Male
19,41395.069896796456,Male
59,41797.115881394115,Male
62,49508.70094676002,Female
23,41848.62843299352,Female
45,39307.313259842536,Female
45,51596.453415378455,Female
61,46175.34173868717,Female
61,72559.89482874033,Female
37,10235.45287410482,Female
47,66372.60277883692,Male
28,68691.27788746444,Female
45,18899.146513877757,Male
42,44859.68608879477,Male
56,44428.38701006313,Female
50,28887.32457923268,Female
18,38332.74968613687,Male
44,33341.36231801257,Male
69,76284.05665135435,Female
30,64035.17589721191,Female
58,69073.32642491237,Male
20,60825.08096064853,Female
56,33064.22343174156,Female
23,42132.196005803395,Female
25,57340.61841841877,Male
44,31668.082866620818,Male
26,60694.97645258582,Male
54,46395.119027627974,Female
50,44377.68788675604,Female
68,60664.39952305237,Male
59,56663.9496722906,Male
61,44585.507512713804,Male
41,67389.94705046373,Female
32,33784.05008600154,Male
49,59239.034104163955,Male
49,58896.51886952575,Female
41,45356.803410290144,Female
58,54891.99533363177,Female
69,31233.296354220456,Male
66,63860.40528810352,Female
66,47226.46795335517,Female
69,42159.154692214404,Male
29,65735.13838755334,Female
56,39434.84464185861,Male
19,28873.080554546606,Male
20,26650.562397141442,Female
66,59090.14927018459,Female
54,30793.559712555754,Female
66,76321.91272976546,Female
34,18771.058881744168,Female
66,75446.84552435057,Female
19,53165.26200803927,Male
19,48549.30332194411,Male
45,41826.21369786575,Female
40,55987.04171528106,Male
54,49435.47946362727,Female
49,66549.52823024782,Male
50,51713.41472993059,Male
18,52254.52642192817,Male
36,44545.81681679216,Female
19,49145.81564418399,Male
61,54617.026533380886,Female
43,24347.474110150615,Male
49,29777.218668414305,Male
23,61148.96141034072,Male
49,52562.981571919125,Male
21,47240.24995470981,Male
28,50276.5089959809,Female
34,55213.72558042507,Female
55,41903.60479535958,Male
41,38325.42911896531,Male
22,52937.67882646522,Male
69,35324.40833577452,Male
51,56123.79133571708,Female
23,24461.245936432395,Male
39,65437.33455988466,Female
28,57088.96223619564,Male
65,53840.44601470813,Female
33,64740.36475918271,Male
50,74982.11666693864,Male
26,65215.55097527196,Female
23,22386.88653002532,Male
33,30806.345498964478,Male
46,40627.72133456482,Male
20,50391.36575316251,Female
37,57764.88530703685,Male
53,39113.84280269802,Male
36,52801.50146715617,Female
43,38669.256014700164,Female
20,40827.23295512078,Female
36,28900.083547276667,Male
37,36151.50130833643,Male
49,29724.730915754997,Male
24,35361.90120534001,Female
69,65804.62694911759,Male
58,35759.01666752085,Male
50,89485.73097256086,Female
57,57399.76851321334,Female
56,52772.54185542311,Female
35,37124.6332972818,Female
57,60504.64819113487,Female
18,41365.43260643339,Male
28,51830.147219680424,Female
45,88401.26807403192,Male
42,48559.10150413025,Male
67,67239.09989428514,Female
40,39452.35362311169,Female
48,49475.17264254557,Female
47,76562.00953453264,Male
59,40595.494133183485,Female
52,77186.72836995393,Female
24,60616.279031832135,Female
33,41562.99836158598,Female
43,59486.116085832815,Female
65,64588.316744400945,Male
69,59327.149433257946,Male
66,26446.629201643154,Male
19,39092.94236262697,Female
18,46287.22046672743,Female
65,48883.498563499306,Female
29,59310.08146326017,Male
22,52665.51501399881,Female
54,29969.83461934848,Female
49,55702.967765089445,Female
26,59158.786179257346,Male
58,58396.856718965595,Female
52,66211.71088331932,Male
36,62508.83231823356,Female
65,56887.70118842655,Male
33,48947.51432812029,Male
20,25085.58599726013,Male
37,56444.273286988784,Female
41,53115.31530744667,Female
50,54073.6825579306,Male
41,30848.77136269536,Male
69,33784.151893876064,Female
28,65797.29279999355,Female
66,49406.672692150176,Male
25,60222.510460589365,Female
53,50424.77564195692,Female
55,50446.34209243618,Female
57,64074.25708963996,Female
37,42259.32907673939,Male
52,51441.811654114754,Female
65,43065.87066942436,Female
42,43482.55658851527,Male
52,45362.41814797041,Male
42,53332.00657450569,Female
46,42818.77067504784,Female
35,68836.34188360281,Female
63,36580.89046670744,Female
35,47196.92533757961,Male
19,43404.034125887374,Male
52,71704.668265306,Male
33,52948.32164767362,Female
58,65477.66809202952,Female
53,27716.59440444542,Female
50,54005.75398803888,Female
21,63344.46193435155,Male
50,51234.259839131366,Male
31,65982.20562598026,Female
38,42240.673248494415,Male
65,71140.2116027837,Female
37,84483.47185428876,Female
25,44557.42159340512,Male
24,43317.462178988426,Female
20,71800.7671567655,Female
34,73693.58218596068,Male
50,42157.09959270098,Female
65,43697.19774356214,Female
29,45773.230867092396,Male
68,29833.242334485843,Female
39,36220.22080273703,Male
39,34937.88849871898,Female
63,38483.03652343807,Male
47,49479.72668919828,Male
55,53513.22098804781,Male
55,73257.50739221115,Female
62,35024.68938891814,Male
68,64764.83597714876,Male
25,46790.16733661736,Male
44,49258.044355213504,Male
44,60122.29238249906,Male
51,33159.16967656552,Female
38,55736.14619276076,Female
47,52496.78312319584,Female
50,57386.76896012224,Female
45,54337.52965861727,Female
64,86829.50209866342,Female
50,40433.900236230256,Female
22,42035.04567497274,Male
65,40652.89210362853,Female
36,41667.843212596184,Male
21,40439.19309040223,Male
52,67835.24796661327,Female
66,71307.56371984782,Male
34,41438.805593757854,Male
61,37514.66640343657,Male
45,57071.23334579606,Male
47,41716.65433578543,Female
46,59493.97726633266,Female
63,53043.845312769496,Female
