Age,Income,Gender
37,37710.67,Male
53,46442.8,Male
55,22617.43,Male
42,42684.64,Male
38,39950.08,Male
34,38091.09,Male
41,39226.79,Male
35,38001.83,Male
51,44073.08,Male
52,28085.7,Male
57,47480.69,Male
63,48245.06,Male
50,46125.02,Male
57,46771.33,Male
48,45554.78,Male
44,41320.85,Male
49,45007.17,Male
54,45558.54,Male
46,40801.23,Male
38,34502.1,Male
34,38494.88,Male
44,41202.01,Male
47,39160.65,Male
34,37228.39,Male
50,44690.28,Male
45,34260.52,Male
56,29237.24,Male
42,40339.64,Male
39,41731.66,Male
61,49289.38,Male
53,47655.57,Male
54,46242.49,Male
44,42237.24,Male
40,39726.36,Male
46,43550.16,Male
44,40423.74,Male
57,47828.22,Male
49,46692.46,Male
53,40433.62,Male
38,40043.24,Male
46,41461.9,Male
49,45824.98,Male
39,40481.02,Male
57,45487.4,Male
53,30982.08,Male
59,46941.24,Male
41,38662.14,Male
43,43863.48,Male
47,44539.9,Male
46,44358.2,Male
51,45858.17,Male
45,43353.44,Male
39,41021.89,Male
62,44957.8,Male
51,45361.36,Male
49,45380.74,Male
53,45525.64,Male
47,34489.34,Male
62,48206.49,Male
41,20058.73,Male
55,36954.69,Male
31,31616.1,Male
48,43451.16,Male
51,41682.58,Male
53,43576.9,Male
52,36314.23,Male
49,46162.81,Male
42,42597.64,Male
50,40423.69,Male
48,44048.02,Male
50,33657.78,Male
46,41928.54,Male
49,46216.72,Male
47,38208.74,Male
36,37775.24,Male
45,39774.1,Male
63,46332.6,Male
50,42228.56,Male
65,47789.79,Male
50,35515.84,Male
43,42936.0,Male
39,41108.83,Male
53,45613.99,Male
38,43134.08,Male
52,40990.56,Male
53,33289.78,Male
37,37685.76,Male
61,44805.41,Male
47,46153.48,Male
55,34109.3,Male
48,46425.45,Male
53,45618.4,Male
35,37627.86,Male
48,46012.57,Male
54,43161.33,Male
47,43522.34,Male
51,41138.46,Male
55,40777.67,Male
48,44393.1,Male
30,35902.66,Male
61,48467.28,Male
49,41612.23,Male
48,37417.64,Male
59,47794.71,Male
51,46033.6,Male
37,31332.95,Male
62,47845.22,Male
41,39988.94,Male
49,40323.73,Male
35,36004.74,Male
40,40148.6,Male
51,37496.84,Male
36,38664.56,Male
46,41817.48,Male
47,40668.63,Male
53,43922.37,Male
49,41891.08,Male
47,41938.54,Male
44,40644.99,Male
35,37301.05,Male
38,40334.99,Male
53,41751.69,Male
40,38426.52,Male
49,44473.33,Male
46,45480.1,Male
51,45258.15,Male
61,48803.15,Male
41,37030.34,Male
45,44504.28,Male
52,47250.9,Male
39,37173.77,Male
57,44341.83,Male
41,42552.11,Male
49,38750.56,Male
42,41396.69,Male
56,46088.02,Male
41,38481.46,Male
47,42999.21,Male
40,44401.72,Male
50,45017.73,Male
40,42244.92,Male
43,43214.94,Male
47,45929.68,Male
56,30296.83,Male
46,43878.98,Male
61,50518.44,Male
38,38284.53,Male
39,41908.67,Male
60,45535.09,Male
52,33080.28,Male
38,41898.47,Male
56,46142.81,Male
57,47361.16,Male
63,47899.28,Male
45,44060.7,Male
48,38039.58,Male
56,33109.96,Male
68,49649.76,Male
54,45940.75,Male
37,42409.35,Male
56,47803.45,Male
54,42185.88,Male
39,42151.7,Male
36,39113.26,Male
59,48210.96,Male
60,46735.98,Male
51,46386.98,Male
34,34672.88,Male
48,39744.44,Male
45,42059.06,Male
53,47260.92,Male
42,39573.56,Male
40,42611.18,Male
42,38094.1,Male
52,37948.31,Male
54,44887.34,Male
43,39376.47,Male
49,44090.28,Male
48,43873.39,Male
44,42025.38,Male
43,25407.22,Male
46,38466.58,Male
50,41702.04,Male
34,30676.05,Male
44,31333.78,Male
33,33216.12,Male
55,38523.76,Male
38,39883.82,Male
46,41824.42,Male
41,43668.51,Male
53,45228.52,Male
44,44741.6,Male
51,43365.44,Male
62,49496.16,Male
53,46166.67,Male
42,41668.76,Male
46,41064.46,Male
53,45177.22,Male
39,38769.9,Male
54,28684.12,Male
41,38556.07,Male
39,37843.06,Male
44,44996.72,Male
37,39983.39,Male
36,38909.61,Male
50,39027.11,Male
50,46313.92,Male
48,38718.29,Male
53,37078.54,Male
41,42918.9,Male
45,42040.58,Male
39,41126.9,Male
52,38006.2,Male
57,46839.15,Male
56,39608.77,Male
45,34777.69,Male
44,44816.51,Male
51,45251.04,Male
58,47701.19,Male
48,44244.36,Male
42,27143.02,Male
38,38743.45,Male
50,29043.36,Male
39,34909.74,Male
53,25076.74,Male
52,48096.44,Male
38,41589.41,Male
47,45590.75,Male
47,44335.74,Male
41,44037.96,Male
54,39969.95,Male
47,34621.0,Male
45,44878.33,Male
45,46217.58,Male
50,41552.08,Male
44,44440.67,Male
33,37640.24,Male
42,38644.44,Male
47,41572.06,Male
51,43232.31,Male
39,42090.11,Male
51,44335.2,Male
35,37238.12,Male
38,40776.4,Male
52,43385.86,Male
45,42112.19,Male
32,35031.49,Male
49,39672.18,Male
51,46765.34,Male
48,40847.91,Male
53,37064.86,Male
34,32769.69,Male
56,47423.61,Male
38,42553.36,Male
46,45460.96,Male
42,41394.42,Male
46,41634.23,Male
47,43295.14,Male
44,31981.19,Male
40,35500.27,Male
45,42780.2,Male
37,39897.18,Male
40,41724.89,Male
38,39410.85,Male
51,43622.13,Male
50,43807.84,Male
45,36844.82,Male
57,46961.9,Male
50,33606.08,Male
51,47090.1,Male
60,46568.07,Male
44,44054.66,Male
51,44373.74,Male
52,45375.36,Male
54,46276.18,Male
35,39504.2,Male
37,41302.76,Male
54,42733.36,Male
59,48424.92,Male
53,45390.26,Male
49,33650.48,Male
42,38280.39,Male
49,45178.0,Male
36,33966.78,Male
47,41829.15,Male
57,45587.4,Male
40,36049.57,Male
36,37933.43,Male
54,43406.78,Male
56,45295.12,Male
53,47030.66,Male
51,43125.56,Male
35,37906.73,Male
44,43488.36,Male
63,46779.8,Male
47,35459.0,Male
43,34029.8,Male
42,41785.84,Male
56,47992.46,Male
41,40951.16,Male
39,41477.46,Male
51,44582.99,Male
48,38292.29,Male
52,46920.93,Male
43,42751.17,Male
41,40227.73,Male
57,27725.24,Male
40,43127.76,Male
43,39332.58,Male
50,44841.69,Male
53,45450.74,Male
55,35077.62,Male
45,41653.62,Male
44,43093.52,Male
51,43257.35,Male
50,46032.64,Male
38,39153.7,Male
52,47130.28,Male
59,45912.64,Male
38,41428.1,Male
61,39874.08,Male
37,35576.06,Male
38,40607.84,Male
47,27754.4,Male
42,37717.23,Male
43,38385.96,Male
48,41130.82,Male
38,39836.28,Male
42,40826.24,Male
41,39650.35,Male
49,44071.82,Male
57,45511.85,Male
48,41436.04,Male
61,43517.15,Male
38,40555.16,Male
51,45206.15,Male
